ts,city,temp,cond
1996-08-01 00:00:00.0,Aachen,87,State of sky on the whole unchanged
1996-08-05 00:00:00.0,Aachen,109,"Moderate or heavy rain at time of observation thunderstorm during the preceding hour but not at time of observation"
1996-08-16 00:00:00.0,Aachen,57,Rain and snow or ice pellets not falling as shower(s)
1996-09-24 00:00:00.0,Aachen,92,Thunderstorm (with or without precipitation)
1996-09-26 00:00:00.0,Aachen,57,Clouds generally dissolving or becoming less developed
1996-10-03 00:00:00.0,Aachen,78,"Thunderstorm but no precipitation at the time of observation"
1996-10-04 00:00:00.0,Aachen,62,"Drizzle and rain slight"
1996-11-05 00:00:00.0,Aachen,94,"Well developed dust whirl(s) or sand whirl(s) seen at or near the station during the preceding hour or at the time of observation but no duststorm or sandstorm"
1996-11-26 00:00:00.0,Aachen,105,Drizzle (not freezing) or snow grains not falling as shower(s)
1996-12-17 00:00:00.0,Aachen,45,"Thunderstorm slight or moderate with hail (hail small hail snow pellets) at time of observation thunderstorm at time of observation"
1996-12-24 00:00:00.0,Aachen,78,"Drizzle freezing slight"
1997-01-14 00:00:00.0,Aachen,51,"Duststorm or sandstorm within sight at the time of observation or at the station during the preceding hour"
1997-01-20 00:00:00.0,Aachen,116,"Moderate or heavy rain at time of observation thunderstorm during the preceding hour but not at time of observation"
1997-03-05 00:00:00.0,Aachen,59,"Drizzle not freezing intermittent heavy (dense) at time of observation"
1997-03-18 00:00:00.0,Aachen,68,Shower(s) of snow or of rain and snow
1997-04-03 00:00:00.0,Aachen,99,Funnel cloud(s) (Tornado cloud or waterspout) at or within sight of the station during the preceding hour or at the time of observation 
1997-04-07 00:00:00.0,Aachen,117,Rain (not freezing) not falling as shower(s)
1997-04-10 00:00:00.0,Aachen,41,Haze
1997-04-25 00:00:00.0,Aachen,109,"Rain shower(s) slight"
1997-05-13 00:00:00.0,Aachen,83,"Intermittent fall of snowflakes moderate at time of observation"
1997-06-10 00:00:00.0,Aachen,89,Slight or moderate drifting snow generally low (below eye level)
1997-06-16 00:00:00.0,Aachen,101,"Rain freezing moderate or heavy"
1997-06-17 00:00:00.0,Aachen,116,"Snow shower(s) moderate or heavy"
1997-07-10 00:00:00.0,Aachen,50,"Rain not freezing intermittent heavy at time of observation"
1997-07-22 00:00:00.0,Aachen,86,"Thunderstorm slight or moderate with hail (hail small hail snow pellets) at time of observation thunderstorm at time of observation"
1997-08-11 00:00:00.0,Aachen,41,"Widespread dust in suspension in the air not raised by wind at or near the station at the time of observation"
1997-10-21 00:00:00.0,Aachen,49,"Drizzle not freezing continuous heavy (dense) at time of observation"
1997-10-27 00:00:00.0,Aachen,93,"Rain shower(s) moderate or heavy"
1997-11-06 00:00:00.0,Aachen,47,"Continuous fall of snowflakes moderate at time of observation"
1997-11-07 00:00:00.0,Aachen,66,Slight or moderate duststorm or sandstorm has begun or has increased during the preceding hour
1997-11-24 00:00:00.0,Aachen,91,Squalls at or within sight of the station during the preceding hour or at the time of observation
1997-11-28 00:00:00.0,Aachen,110,"Rain not freezing continuous moderate at time of observation"
1997-12-18 00:00:00.0,Aachen,95,"Continuous fall of snowflakes heavy at time of observation"
1997-12-31 00:00:00.0,Aachen,104,Rain and snow or ice pellets not falling as shower(s)
1998-01-20 00:00:00.0,Aachen,70,Drizzle (not freezing) or snow grains not falling as shower(s)
1998-01-22 00:00:00.0,Aachen,45,"Rain not freezing continuous slight at time of observation"
1998-02-06 00:00:00.0,Aachen,73,Slight or moderate drifting snow generally low (below eye level)
1998-02-12 00:00:00.0,Aachen,74,"Intermittent fall of snowflakes moderate at time of observation"
1998-02-16 00:00:00.0,Aachen,88,"Drizzle freezing slight"
1998-03-12 00:00:00.0,Aachen,92,"Rain or drizzle and snow moderate or heavy"
1998-03-17 00:00:00.0,Aachen,77,"Snow shower(s) moderate or heavy"
1998-03-20 00:00:00.0,Aachen,58,Slight or moderate duststorm or sandstorm no appreciable change during the preceding hour
1998-03-31 00:00:00.0,Aachen,70,"Drizzle not freezing continuous moderate at time of observation"
1998-04-09 00:00:00.0,Aachen,100,"Drizzle not freezing continuous moderate at time of observation"
1998-04-27 00:00:00.0,Aachen,45,"Well developed dust whirl(s) or sand whirl(s) seen at or near the station during the preceding hour or at the time of observation but no duststorm or sandstorm"
1998-05-06 00:00:00.0,Aachen,110,State of sky on the whole unchanged
1998-05-18 00:00:00.0,Aachen,69,"Rain not freezing intermittent heavy at time of observation"
1998-05-20 00:00:00.0,Aachen,71,"Shower(s) of snow pellets or small hail with or without rain or rain and snow mixed slight"
1998-05-21 00:00:00.0,Aachen,55,"Moderate or heavy snow or rain and snow mixed or hail(Hail small hail snow pellets) at time of observation thunderstorm during the preceding hour but not at time of observation"
1998-05-25 00:00:00.0,Aachen,87,"Fog or ice fog sky invisible has become thinner during the preceding hour"
1998-06-01 00:00:00.0,Aachen,100,"Rain not freezing continuous heavy at time of observation"
1998-06-02 00:00:00.0,Aachen,115,"Shower(s) of hail (hail small hail snow pellets) with or without rain or rain and snow mixed not associated with thunder moderate or heavy"
1998-06-03 00:00:00.0,Aachen,113,"Fog or ice fog sky invisible has begun or has become thicker during the preceding hour"
1996-08-05 00:00:00.0,Albuquerque,47,"Rain shower(s) moderate or heavy"
1996-08-06 00:00:00.0,Albuquerque,101,"Lightning visible no thunder heard"
1996-08-19 00:00:00.0,Albuquerque,92,"Duststorm or sandstorm within sight at the time of observation or at the station during the preceding hour"
1996-08-30 00:00:00.0,Albuquerque,49,"Well developed dust whirl(s) or sand whirl(s) seen at or near the station during the preceding hour or at the time of observation but no duststorm or sandstorm"
1996-09-04 00:00:00.0,Albuquerque,51,Mist
1996-09-06 00:00:00.0,Albuquerque,54,"Thunderstorm slight or moderate with hail (hail small hail snow pellets) at time of observation thunderstorm at time of observation"
1996-09-12 00:00:00.0,Albuquerque,87,"Rain shower(s) moderate or heavy"
1996-09-17 00:00:00.0,Albuquerque,113,Mist
1996-09-19 00:00:00.0,Albuquerque,100,"Thunderstorm combined with duststorm or sandstorm at time of observation thunderstorm at time of observation"
1996-09-23 00:00:00.0,Albuquerque,45,"Intermittent fall of snowflakes slight at time of observation"
1996-09-26 00:00:00.0,Albuquerque,53,Isolated star-like snow crystals (with or without fog)
1996-09-27 00:00:00.0,Albuquerque,56,"Rain not freezing continuous slight at time of observation"
1996-10-03 00:00:00.0,Albuquerque,80,Squalls at or within sight of the station during the preceding hour or at the time of observation
